IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.193.65,443,true,SIN,Asia Pacific,Singapore,47 ms,27787 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,45 ms,27458 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,45 ms,27296 kB/s
8.222.213.221,443,true,SIN,Asia Pacific,Singapore,49 ms,27252 kB/s
8.222.213.221,443,true,SIN,Asia Pacific,Singapore,47 ms,27211 kB/s
8.219.144.168,443,true,SIN,Asia Pacific,Singapore,53 ms,27118 kB/s
47.236.121.7,443,true,SIN,Asia Pacific,Singapore,46 ms,27089 kB/s
47.236.145.85,443,true,SIN,Asia Pacific,Singapore,47 ms,26930 kB/s
8.219.144.168,443,true,SIN,Asia Pacific,Singapore,60 ms,26823 kB/s
47.236.145.85,443,true,SIN,Asia Pacific,Singapore,55 ms,26597 kB/s
47.236.116.182,443,true,SIN,Asia Pacific,Singapore,55 ms,26568 kB/s
47.236.121.7,443,true,SIN,Asia Pacific,Singapore,54 ms,26270 kB/s
8.222.205.210,443,true,SIN,Asia Pacific,Singapore,53 ms,26083 kB/s
47.236.121.7,443,true,SIN,Asia Pacific,Singapore,52 ms,25576 kB/s
47.236.116.182,443,true,SIN,Asia Pacific,Singapore,54 ms,24479 kB/s
8.222.205.210,443,true,SIN,Asia Pacific,Singapore,44 ms,24359 kB/s
47.236.116.182,443,true,SIN,Asia Pacific,Singapore,49 ms,22793 kB/s
43.153.80.208,443,true,SJC,North America,San Jose,165 ms,21458 kB/s
8.222.138.164,443,true,SIN,Asia Pacific,Singapore,45 ms,20809 kB/s
8.222.193.65,443,true,SIN,Asia Pacific,Singapore,45 ms,20576 kB/s
43.153.80.208,443,true,SJC,North America,San Jose,206 ms,18103 kB/s
47.236.116.182,443,true,SIN,Asia Pacific,Singapore,50 ms,17684 kB/s
47.243.70.197,443,true,HKG,Asia Pacific,Hong Kong,14 ms,14949 kB/s
144.24.90.13,443,true,ICN,Asia Pacific,Seoul,109 ms,12248 kB/s
47.236.87.206,443,true,SIN,Asia Pacific,Singapore,46 ms,12128 kB/s
43.156.27.249,443,true,SIN,Asia Pacific,Singapore,72 ms,12114 kB/s
