IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
158.178.246.169,2095,false,SIN,Asia Pacific,Singapore,49 ms,46596 kB/s
158.178.242.5,2095,false,SIN,Asia Pacific,Singapore,257 ms,44602 kB/s
8.210.192.93,2095,false,HKG,Asia Pacific,Hong Kong,16 ms,28208 kB/s
8.222.215.228,2095,false,SIN,Asia Pacific,Singapore,50 ms,26996 kB/s
8.222.187.4,2095,false,SIN,Asia Pacific,Singapore,52 ms,26114 kB/s
8.219.213.133,2095,false,SIN,Asia Pacific,Singapore,45 ms,25535 kB/s
47.236.144.156,2095,false,SIN,Asia Pacific,Singapore,54 ms,25280 kB/s
47.236.117.48,2095,false,SIN,Asia Pacific,Singapore,47 ms,25084 kB/s
8.219.242.208,2095,false,SIN,Asia Pacific,Singapore,50 ms,24879 kB/s
8.219.107.199,2095,false,SIN,Asia Pacific,Singapore,45 ms,24756 kB/s
47.236.123.133,2095,false,SIN,Asia Pacific,Singapore,50 ms,24347 kB/s
8.219.134.117,2095,false,SIN,Asia Pacific,Singapore,49 ms,24293 kB/s
8.222.215.228,2095,false,SIN,Asia Pacific,Singapore,46 ms,24280 kB/s
8.222.187.107,2095,false,SIN,Asia Pacific,Singapore,46 ms,24278 kB/s
8.222.193.65,2095,false,SIN,Asia Pacific,Singapore,48 ms,24187 kB/s
47.236.65.177,2095,false,SIN,Asia Pacific,Singapore,48 ms,23985 kB/s
8.219.167.113,2095,false,SIN,Asia Pacific,Singapore,45 ms,23962 kB/s
8.222.187.4,2095,false,SIN,Asia Pacific,Singapore,53 ms,23829 kB/s
47.236.97.90,2095,false,SIN,Asia Pacific,Singapore,50 ms,23802 kB/s
47.236.65.177,2095,false,SIN,Asia Pacific,Singapore,48 ms,23798 kB/s
8.222.167.147,2095,false,SIN,Asia Pacific,Singapore,49 ms,23738 kB/s
47.236.87.246,2095,false,SIN,Asia Pacific,Singapore,47 ms,23727 kB/s
8.222.249.190,2095,false,SIN,Asia Pacific,Singapore,49 ms,23602 kB/s
8.222.159.252,2095,false,SIN,Asia Pacific,Singapore,48 ms,23552 kB/s
8.222.174.108,2095,false,SIN,Asia Pacific,Singapore,50 ms,23370 kB/s
47.236.75.113,2095,false,SIN,Asia Pacific,Singapore,49 ms,23289 kB/s
8.222.187.107,2095,false,SIN,Asia Pacific,Singapore,45 ms,23257 kB/s
8.219.235.164,2095,false,SIN,Asia Pacific,Singapore,52 ms,23171 kB/s
47.236.144.156,2095,false,SIN,Asia Pacific,Singapore,48 ms,23155 kB/s
47.236.97.90,2095,false,SIN,Asia Pacific,Singapore,49 ms,23152 kB/s
8.222.249.190,2095,false,SIN,Asia Pacific,Singapore,48 ms,23068 kB/s
47.236.144.208,2095,false,SIN,Asia Pacific,Singapore,49 ms,22998 kB/s
8.219.134.117,2095,false,SIN,Asia Pacific,Singapore,48 ms,22738 kB/s
8.219.220.88,2095,false,SIN,Asia Pacific,Singapore,46 ms,22671 kB/s
8.219.213.133,2095,false,SIN,Asia Pacific,Singapore,48 ms,22658 kB/s
47.236.145.85,2095,false,SIN,Asia Pacific,Singapore,53 ms,22626 kB/s
47.236.116.182,2095,false,SIN,Asia Pacific,Singapore,47 ms,22487 kB/s
8.222.174.108,2095,false,SIN,Asia Pacific,Singapore,45 ms,22470 kB/s
8.219.230.254,2095,false,SIN,Asia Pacific,Singapore,52 ms,22446 kB/s
8.222.237.131,2095,false,SIN,Asia Pacific,Singapore,51 ms,22373 kB/s
8.219.61.52,2095,false,SIN,Asia Pacific,Singapore,44 ms,22373 kB/s
8.210.192.93,2095,false,HKG,Asia Pacific,Hong Kong,18 ms,22358 kB/s
47.236.114.23,2095,false,SIN,Asia Pacific,Singapore,46 ms,22217 kB/s
47.236.75.113,2095,false,SIN,Asia Pacific,Singapore,50 ms,22129 kB/s
8.219.230.254,2095,false,SIN,Asia Pacific,Singapore,54 ms,21928 kB/s
8.217.147.230,2095,false,HKG,Asia Pacific,Hong Kong,16 ms,21920 kB/s
47.236.83.196,2095,false,SIN,Asia Pacific,Singapore,49 ms,21895 kB/s
47.236.11.84,2095,false,SIN,Asia Pacific,Singapore,47 ms,21734 kB/s
8.222.237.131,2095,false,SIN,Asia Pacific,Singapore,42 ms,21685 kB/s
47.236.144.208,2095,false,SIN,Asia Pacific,Singapore,47 ms,21664 kB/s
8.219.75.44,2095,false,SIN,Asia Pacific,Singapore,45 ms,21530 kB/s
8.219.222.98,2095,false,SIN,Asia Pacific,Singapore,48 ms,21489 kB/s
8.222.167.8,2095,false,SIN,Asia Pacific,Singapore,51 ms,21459 kB/s
47.236.123.133,2095,false,SIN,Asia Pacific,Singapore,51 ms,21387 kB/s
47.236.145.180,2095,false,SIN,Asia Pacific,Singapore,49 ms,21196 kB/s
8.219.0.162,2095,false,SIN,Asia Pacific,Singapore,48 ms,21190 kB/s
8.222.224.163,2095,false,SIN,Asia Pacific,Singapore,51 ms,20828 kB/s
8.222.140.87,2095,false,SIN,Asia Pacific,Singapore,50 ms,20813 kB/s
47.236.11.84,2095,false,SIN,Asia Pacific,Singapore,48 ms,20711 kB/s
47.236.117.48,2095,false,SIN,Asia Pacific,Singapore,45 ms,20647 kB/s
8.219.198.34,2095,false,SIN,Asia Pacific,Singapore,50 ms,20595 kB/s
8.219.167.113,2095,false,SIN,Asia Pacific,Singapore,46 ms,20590 kB/s
8.219.107.199,2095,false,SIN,Asia Pacific,Singapore,46 ms,20561 kB/s
8.222.213.221,2095,false,SIN,Asia Pacific,Singapore,58 ms,20510 kB/s
47.236.5.223,2095,false,SIN,Asia Pacific,Singapore,48 ms,20394 kB/s
47.236.116.182,2095,false,SIN,Asia Pacific,Singapore,50 ms,20286 kB/s
8.222.167.147,2095,false,SIN,Asia Pacific,Singapore,48 ms,20243 kB/s
47.245.7.212,2095,false,NRT,Asia Pacific,Tokyo,69 ms,20132 kB/s
47.245.37.98,2095,false,NRT,Asia Pacific,Tokyo,81 ms,20105 kB/s
47.245.54.58,2095,false,NRT,Asia Pacific,Tokyo,71 ms,20070 kB/s
47.245.58.250,2095,false,NRT,Asia Pacific,Tokyo,70 ms,20030 kB/s
47.245.54.58,2095,false,NRT,Asia Pacific,Tokyo,71 ms,19914 kB/s
8.219.0.162,2095,false,SIN,Asia Pacific,Singapore,48 ms,19857 kB/s
47.236.83.196,2095,false,SIN,Asia Pacific,Singapore,45 ms,19856 kB/s
47.245.42.162,2095,false,NRT,Asia Pacific,Tokyo,95 ms,19750 kB/s
158.101.150.74,2095,false,NRT,Asia Pacific,Tokyo,200 ms,19742 kB/s
47.236.144.196,2095,false,SIN,Asia Pacific,Singapore,53 ms,19452 kB/s
8.222.238.141,2095,false,SIN,Asia Pacific,Singapore,51 ms,19320 kB/s
8.219.242.208,2095,false,SIN,Asia Pacific,Singapore,56 ms,19203 kB/s
8.218.105.223,2095,false,HKG,Asia Pacific,Hong Kong,14 ms,19186 kB/s
47.236.130.95,2095,false,SIN,Asia Pacific,Singapore,52 ms,19170 kB/s
8.222.238.141,2095,false,SIN,Asia Pacific,Singapore,48 ms,19145 kB/s
8.222.193.65,2095,false,SIN,Asia Pacific,Singapore,46 ms,19142 kB/s
47.236.130.95,2095,false,SIN,Asia Pacific,Singapore,54 ms,19139 kB/s
47.236.144.48,2095,false,SIN,Asia Pacific,Singapore,46 ms,19033 kB/s
8.222.224.163,2095,false,SIN,Asia Pacific,Singapore,49 ms,18936 kB/s
8.209.215.247,2095,false,NRT,Asia Pacific,Tokyo,73 ms,18892 kB/s
47.236.144.48,2095,false,SIN,Asia Pacific,Singapore,47 ms,18849 kB/s
47.74.40.13,2095,false,NRT,Asia Pacific,Tokyo,72 ms,18752 kB/s
47.236.87.246,2095,false,SIN,Asia Pacific,Singapore,46 ms,18594 kB/s
8.219.235.164,2095,false,SIN,Asia Pacific,Singapore,53 ms,18496 kB/s
8.219.77.222,2095,false,SIN,Asia Pacific,Singapore,46 ms,18436 kB/s
47.91.19.249,2095,false,NRT,Asia Pacific,Tokyo,92 ms,18330 kB/s
47.245.58.250,2095,false,NRT,Asia Pacific,Tokyo,66 ms,17858 kB/s
47.91.19.249,2095,false,NRT,Asia Pacific,Tokyo,66 ms,17856 kB/s
8.222.150.197,2095,false,SIN,Asia Pacific,Singapore,50 ms,17846 kB/s
8.219.241.189,2095,false,SIN,Asia Pacific,Singapore,52 ms,17500 kB/s
47.236.87.206,2095,false,SIN,Asia Pacific,Singapore,48 ms,17313 kB/s
47.236.114.23,2095,false,SIN,Asia Pacific,Singapore,45 ms,17110 kB/s
47.74.11.219,2095,false,NRT,Asia Pacific,Tokyo,74 ms,17054 kB/s
47.236.121.7,2095,false,SIN,Asia Pacific,Singapore,49 ms,16815 kB/s
8.219.61.52,2095,false,SIN,Asia Pacific,Singapore,42 ms,16809 kB/s
8.219.241.189,2095,false,SIN,Asia Pacific,Singapore,51 ms,16780 kB/s
8.219.222.98,2095,false,SIN,Asia Pacific,Singapore,46 ms,16602 kB/s
47.245.12.179,2095,false,HKG,Asia Pacific,Hong Kong,182 ms,16592 kB/s
