IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
158.178.246.169,80,false,SIN,Asia Pacific,Singapore,215 ms,46095 kB/s
158.178.242.56,80,false,SIN,Asia Pacific,Singapore,49 ms,43018 kB/s
158.178.246.169,80,false,SIN,Asia Pacific,Singapore,211 ms,40525 kB/s
158.178.242.56,80,false,SIN,Asia Pacific,Singapore,53 ms,38440 kB/s
43.153.181.217,80,false,NRT,Asia Pacific,Tokyo,77 ms,33459 kB/s
158.101.94.15,80,false,NRT,Asia Pacific,Tokyo,178 ms,33147 kB/s
158.178.242.56,80,false,SIN,Asia Pacific,Singapore,53 ms,31378 kB/s
158.178.242.5,80,false,SIN,Asia Pacific,Singapore,244 ms,30945 kB/s
132.145.121.123,80,false,NRT,Asia Pacific,Tokyo,188 ms,30382 kB/s
155.248.186.182,80,false,NRT,Asia Pacific,Tokyo,180 ms,30315 kB/s
132.145.114.250,80,false,NRT,Asia Pacific,Tokyo,182 ms,29828 kB/s
8.218.105.223,80,false,HKG,Asia Pacific,Hong Kong,14 ms,29004 kB/s
8.217.147.230,80,false,HKG,Asia Pacific,Hong Kong,18 ms,28946 kB/s
8.217.147.230,80,false,HKG,Asia Pacific,Hong Kong,25 ms,28946 kB/s
132.145.114.14,80,false,NRT,Asia Pacific,Tokyo,183 ms,28899 kB/s
138.2.6.15,80,false,NRT,Asia Pacific,Tokyo,185 ms,28827 kB/s
150.230.109.138,80,false,NRT,Asia Pacific,Tokyo,178 ms,28559 kB/s
8.217.147.230,80,false,HKG,Asia Pacific,Hong Kong,19 ms,28558 kB/s
141.147.162.204,80,false,NRT,Asia Pacific,Tokyo,187 ms,28490 kB/s
8.217.147.230,80,false,HKG,Asia Pacific,Hong Kong,16 ms,28489 kB/s
47.243.70.197,80,false,HKG,Asia Pacific,Hong Kong,15 ms,28322 kB/s
140.238.60.177,80,false,NRT,Asia Pacific,Tokyo,174 ms,28320 kB/s
141.147.168.13,80,false,NRT,Asia Pacific,Tokyo,183 ms,28176 kB/s
150.230.221.219,80,false,NRT,Asia Pacific,Tokyo,189 ms,27994 kB/s
8.218.105.223,80,false,HKG,Asia Pacific,Hong Kong,14 ms,27276 kB/s
131.186.47.223,80,false,NRT,Asia Pacific,Tokyo,181 ms,26806 kB/s
47.236.144.48,80,false,SIN,Asia Pacific,Singapore,49 ms,26719 kB/s
8.217.147.230,80,false,HKG,Asia Pacific,Hong Kong,16 ms,26703 kB/s
47.243.70.197,80,false,HKG,Asia Pacific,Hong Kong,17 ms,26702 kB/s
131.186.43.107,80,false,NRT,Asia Pacific,Tokyo,181 ms,26634 kB/s
