IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
158.178.242.5,8080,false,SIN,Asia Pacific,Singapore,48 ms,47302 kB/s
158.178.246.169,8080,false,SIN,Asia Pacific,Singapore,47 ms,44491 kB/s
158.178.242.56,8080,false,SIN,Asia Pacific,Singapore,54 ms,42720 kB/s
8.210.192.93,8080,false,HKG,Asia Pacific,Hong Kong,19 ms,27884 kB/s
8.210.192.93,8080,false,HKG,Asia Pacific,Hong Kong,14 ms,27262 kB/s
8.222.215.228,8080,false,SIN,Asia Pacific,Singapore,45 ms,27004 kB/s
47.236.123.133,8080,false,SIN,Asia Pacific,Singapore,51 ms,26880 kB/s
47.236.145.180,8080,false,SIN,Asia Pacific,Singapore,50 ms,26712 kB/s
8.222.213.221,8080,false,SIN,Asia Pacific,Singapore,48 ms,25852 kB/s
47.236.144.196,8080,false,SIN,Asia Pacific,Singapore,55 ms,25334 kB/s
8.219.124.227,8080,false,SIN,Asia Pacific,Singapore,52 ms,25095 kB/s
47.236.97.90,8080,false,SIN,Asia Pacific,Singapore,47 ms,25050 kB/s
8.222.187.4,8080,false,SIN,Asia Pacific,Singapore,50 ms,24965 kB/s
8.222.167.147,8080,false,SIN,Asia Pacific,Singapore,49 ms,24960 kB/s
47.236.65.177,8080,false,SIN,Asia Pacific,Singapore,47 ms,24888 kB/s
8.219.65.191,8080,false,SIN,Asia Pacific,Singapore,44 ms,24852 kB/s
8.219.242.208,8080,false,SIN,Asia Pacific,Singapore,54 ms,24704 kB/s
47.236.83.196,8080,false,SIN,Asia Pacific,Singapore,51 ms,24626 kB/s
47.236.145.85,8080,false,SIN,Asia Pacific,Singapore,49 ms,24599 kB/s
8.219.0.162,8080,false,SIN,Asia Pacific,Singapore,47 ms,24539 kB/s
8.219.74.35,8080,false,SIN,Asia Pacific,Singapore,47 ms,24473 kB/s
47.236.75.113,8080,false,SIN,Asia Pacific,Singapore,55 ms,24383 kB/s
8.222.187.4,8080,false,SIN,Asia Pacific,Singapore,49 ms,24368 kB/s
8.219.107.199,8080,false,SIN,Asia Pacific,Singapore,46 ms,24355 kB/s
8.219.167.113,8080,false,SIN,Asia Pacific,Singapore,45 ms,24328 kB/s
8.219.213.133,8080,false,SIN,Asia Pacific,Singapore,46 ms,24230 kB/s
8.222.237.131,8080,false,SIN,Asia Pacific,Singapore,48 ms,24084 kB/s
47.236.97.90,8080,false,SIN,Asia Pacific,Singapore,47 ms,24063 kB/s
8.218.105.223,8080,false,HKG,Asia Pacific,Hong Kong,14 ms,24022 kB/s
8.219.210.64,8080,false,SIN,Asia Pacific,Singapore,55 ms,23938 kB/s
8.222.238.141,8080,false,SIN,Asia Pacific,Singapore,55 ms,23922 kB/s
47.236.7.13,8080,false,SIN,Asia Pacific,Singapore,52 ms,23836 kB/s
47.236.144.156,8080,false,SIN,Asia Pacific,Singapore,53 ms,23742 kB/s
8.219.241.189,8080,false,SIN,Asia Pacific,Singapore,44 ms,23681 kB/s
8.219.222.98,8080,false,SIN,Asia Pacific,Singapore,49 ms,23483 kB/s
47.236.130.95,8080,false,SIN,Asia Pacific,Singapore,47 ms,23468 kB/s
8.222.174.108,8080,false,SIN,Asia Pacific,Singapore,42 ms,23413 kB/s
8.222.174.108,8080,false,SIN,Asia Pacific,Singapore,46 ms,23319 kB/s
47.236.83.239,8080,false,SIN,Asia Pacific,Singapore,46 ms,23087 kB/s
8.219.65.191,8080,false,SIN,Asia Pacific,Singapore,47 ms,23052 kB/s
47.236.144.208,8080,false,SIN,Asia Pacific,Singapore,48 ms,22967 kB/s
8.219.213.133,8080,false,SIN,Asia Pacific,Singapore,45 ms,22910 kB/s
8.222.237.131,8080,false,SIN,Asia Pacific,Singapore,53 ms,22784 kB/s
8.222.193.65,8080,false,SIN,Asia Pacific,Singapore,45 ms,22487 kB/s
8.222.167.8,8080,false,SIN,Asia Pacific,Singapore,43 ms,22435 kB/s
47.236.123.133,8080,false,SIN,Asia Pacific,Singapore,52 ms,22219 kB/s
8.219.157.97,8080,false,SIN,Asia Pacific,Singapore,48 ms,22192 kB/s
47.236.145.180,8080,false,SIN,Asia Pacific,Singapore,49 ms,22171 kB/s
47.236.116.182,8080,false,SIN,Asia Pacific,Singapore,52 ms,22076 kB/s
8.219.77.222,8080,false,SIN,Asia Pacific,Singapore,52 ms,22000 kB/s
8.222.215.228,8080,false,SIN,Asia Pacific,Singapore,47 ms,21790 kB/s
8.209.215.247,8080,false,NRT,Asia Pacific,Tokyo,66 ms,21786 kB/s
47.236.87.246,8080,false,SIN,Asia Pacific,Singapore,43 ms,21613 kB/s
158.178.242.56,8080,false,SIN,Asia Pacific,Singapore,239 ms,21564 kB/s
8.219.107.199,8080,false,SIN,Asia Pacific,Singapore,48 ms,21523 kB/s
8.219.198.34,8080,false,SIN,Asia Pacific,Singapore,47 ms,21513 kB/s
47.74.11.219,8080,false,NRT,Asia Pacific,Tokyo,70 ms,21479 kB/s
8.219.74.35,8080,false,SIN,Asia Pacific,Singapore,53 ms,21437 kB/s
47.236.83.196,8080,false,SIN,Asia Pacific,Singapore,47 ms,21319 kB/s
8.222.213.221,8080,false,SIN,Asia Pacific,Singapore,52 ms,21244 kB/s
8.219.220.88,8080,false,SIN,Asia Pacific,Singapore,46 ms,21233 kB/s
47.236.83.239,8080,false,SIN,Asia Pacific,Singapore,46 ms,21131 kB/s
8.219.75.44,8080,false,SIN,Asia Pacific,Singapore,42 ms,21030 kB/s
47.236.144.208,8080,false,SIN,Asia Pacific,Singapore,46 ms,20784 kB/s
47.245.37.98,8080,false,NRT,Asia Pacific,Tokyo,73 ms,20706 kB/s
8.219.199.220,8080,false,SIN,Asia Pacific,Singapore,48 ms,20614 kB/s
8.219.167.113,8080,false,SIN,Asia Pacific,Singapore,45 ms,20611 kB/s
8.219.0.162,8080,false,SIN,Asia Pacific,Singapore,48 ms,20579 kB/s
47.236.75.113,8080,false,SIN,Asia Pacific,Singapore,54 ms,20575 kB/s
8.222.238.141,8080,false,SIN,Asia Pacific,Singapore,54 ms,20487 kB/s
8.219.210.64,8080,false,SIN,Asia Pacific,Singapore,52 ms,20312 kB/s
8.219.113.27,8080,false,SIN,Asia Pacific,Singapore,50 ms,20223 kB/s
47.236.116.182,8080,false,SIN,Asia Pacific,Singapore,48 ms,20206 kB/s
8.219.230.254,8080,false,SIN,Asia Pacific,Singapore,53 ms,20175 kB/s
8.222.249.190,8080,false,SIN,Asia Pacific,Singapore,48 ms,20099 kB/s
8.219.113.27,8080,false,SIN,Asia Pacific,Singapore,55 ms,20081 kB/s
47.236.144.156,8080,false,SIN,Asia Pacific,Singapore,53 ms,20052 kB/s
150.230.201.63,8080,false,NRT,Asia Pacific,Tokyo,208 ms,20039 kB/s
8.219.157.97,8080,false,SIN,Asia Pacific,Singapore,49 ms,19691 kB/s
168.138.208.164,8080,false,NRT,Asia Pacific,Tokyo,209 ms,19272 kB/s
8.219.77.222,8080,false,SIN,Asia Pacific,Singapore,54 ms,19094 kB/s
47.236.5.223,8080,false,SIN,Asia Pacific,Singapore,50 ms,19051 kB/s
8.209.242.25,8080,false,NRT,Asia Pacific,Tokyo,71 ms,19005 kB/s
8.209.215.247,8080,false,NRT,Asia Pacific,Tokyo,93 ms,18898 kB/s
47.245.26.167,8080,false,NRT,Asia Pacific,Tokyo,67 ms,18657 kB/s
8.219.220.88,8080,false,SIN,Asia Pacific,Singapore,45 ms,18529 kB/s
8.209.242.25,8080,false,NRT,Asia Pacific,Tokyo,72 ms,18325 kB/s
47.74.11.219,8080,false,NRT,Asia Pacific,Tokyo,93 ms,18240 kB/s
8.222.138.164,8080,false,SIN,Asia Pacific,Singapore,44 ms,18103 kB/s
47.91.10.241,8080,false,NRT,Asia Pacific,Tokyo,97 ms,18045 kB/s
47.91.28.15,8080,false,NRT,Asia Pacific,Tokyo,75 ms,18021 kB/s
8.219.124.227,8080,false,SIN,Asia Pacific,Singapore,54 ms,17995 kB/s
47.245.54.58,8080,false,NRT,Asia Pacific,Tokyo,67 ms,17507 kB/s
47.236.130.95,8080,false,SIN,Asia Pacific,Singapore,54 ms,17428 kB/s
47.236.87.206,8080,false,SIN,Asia Pacific,Singapore,47 ms,17423 kB/s
158.101.81.4,8080,false,NRT,Asia Pacific,Tokyo,204 ms,17398 kB/s
140.238.51.89,8080,false,NRT,Asia Pacific,Tokyo,205 ms,17334 kB/s
8.222.150.197,8080,false,SIN,Asia Pacific,Singapore,52 ms,17214 kB/s
8.219.134.117,8080,false,SIN,Asia Pacific,Singapore,46 ms,17213 kB/s
47.236.5.223,8080,false,SIN,Asia Pacific,Singapore,50 ms,17004 kB/s
47.245.58.250,8080,false,NRT,Asia Pacific,Tokyo,70 ms,16934 kB/s
47.245.40.161,8080,false,NRT,Asia Pacific,Tokyo,74 ms,16918 kB/s
168.138.209.84,8080,false,NRT,Asia Pacific,Tokyo,207 ms,16770 kB/s
150.230.221.219,8080,false,NRT,Asia Pacific,Tokyo,209 ms,16698 kB/s
8.219.134.117,8080,false,SIN,Asia Pacific,Singapore,51 ms,16632 kB/s
8.222.249.190,8080,false,SIN,Asia Pacific,Singapore,47 ms,16596 kB/s
131.186.63.127,8080,false,NRT,Asia Pacific,Tokyo,210 ms,16387 kB/s
8.219.124.227,8080,false,SIN,Asia Pacific,Singapore,54 ms,16324 kB/s
8.219.198.34,8080,false,SIN,Asia Pacific,Singapore,50 ms,16064 kB/s
141.147.181.148,8080,false,NRT,Asia Pacific,Tokyo,211 ms,16001 kB/s
8.219.61.52,8080,false,SIN,Asia Pacific,Singapore,48 ms,15955 kB/s
8.217.147.230,8080,false,HKG,Asia Pacific,Hong Kong,15 ms,15934 kB/s
47.236.121.7,8080,false,SIN,Asia Pacific,Singapore,49 ms,15884 kB/s
132.145.123.143,8080,false,NRT,Asia Pacific,Tokyo,213 ms,15729 kB/s
131.186.43.107,8080,false,NRT,Asia Pacific,Tokyo,206 ms,15724 kB/s
8.219.0.162,8080,false,SIN,Asia Pacific,Singapore,49 ms,15672 kB/s
131.186.36.248,8080,false,NRT,Asia Pacific,Tokyo,183 ms,15668 kB/s
131.186.35.189,8080,false,NRT,Asia Pacific,Tokyo,210 ms,15631 kB/s
8.219.154.107,8080,false,SIN,Asia Pacific,Singapore,49 ms,15629 kB/s
47.245.12.179,8080,false,HKG,Asia Pacific,Hong Kong,155 ms,15496 kB/s
8.222.213.221,8080,false,SIN,Asia Pacific,Singapore,51 ms,15369 kB/s
132.145.120.197,8080,false,NRT,Asia Pacific,Tokyo,211 ms,15032 kB/s
158.101.150.74,8080,false,NRT,Asia Pacific,Tokyo,210 ms,14976 kB/s
8.219.222.98,8080,false,SIN,Asia Pacific,Singapore,47 ms,14868 kB/s
150.230.193.89,8080,false,NRT,Asia Pacific,Tokyo,186 ms,14772 kB/s
8.219.235.164,8080,false,SIN,Asia Pacific,Singapore,53 ms,14678 kB/s
47.245.58.250,8080,false,NRT,Asia Pacific,Tokyo,70 ms,14668 kB/s
47.236.117.48,8080,false,SIN,Asia Pacific,Singapore,61 ms,14634 kB/s
150.230.208.83,8080,false,NRT,Asia Pacific,Tokyo,206 ms,14592 kB/s
47.91.28.15,8080,false,NRT,Asia Pacific,Tokyo,70 ms,14572 kB/s
8.222.150.197,8080,false,SIN,Asia Pacific,Singapore,49 ms,14570 kB/s
47.245.54.58,8080,false,NRT,Asia Pacific,Tokyo,64 ms,14530 kB/s
141.147.182.70,8080,false,NRT,Asia Pacific,Tokyo,205 ms,14488 kB/s
131.186.63.184,8080,false,NRT,Asia Pacific,Tokyo,191 ms,14425 kB/s
132.145.121.123,8080,false,NRT,Asia Pacific,Tokyo,192 ms,14388 kB/s
168.138.196.237,8080,false,NRT,Asia Pacific,Tokyo,196 ms,14374 kB/s
150.230.101.125,8080,false,NRT,Asia Pacific,Tokyo,185 ms,14360 kB/s
8.219.199.220,8080,false,SIN,Asia Pacific,Singapore,48 ms,14280 kB/s
47.91.31.231,8080,false,NRT,Asia Pacific,Tokyo,62 ms,14231 kB/s
8.222.224.163,8080,false,SIN,Asia Pacific,Singapore,49 ms,14132 kB/s
131.186.46.75,8080,false,NRT,Asia Pacific,Tokyo,213 ms,14104 kB/s
140.238.41.167,8080,false,NRT,Asia Pacific,Tokyo,213 ms,14029 kB/s
140.238.50.99,8080,false,NRT,Asia Pacific,Tokyo,194 ms,13969 kB/s
131.186.58.151,8080,false,NRT,Asia Pacific,Tokyo,192 ms,13963 kB/s
132.145.121.175,8080,false,NRT,Asia Pacific,Tokyo,187 ms,13930 kB/s
152.70.98.174,8080,false,NRT,Asia Pacific,Tokyo,200 ms,13896 kB/s
150.230.219.168,8080,false,NRT,Asia Pacific,Tokyo,204 ms,13872 kB/s
158.178.246.169,8080,false,SIN,Asia Pacific,Singapore,261 ms,13777 kB/s
47.236.121.7,8080,false,SIN,Asia Pacific,Singapore,54 ms,13777 kB/s
150.230.109.252,8080,false,NRT,Asia Pacific,Tokyo,182 ms,13695 kB/s
47.236.11.84,8080,false,SIN,Asia Pacific,Singapore,49 ms,13649 kB/s
47.91.19.249,8080,false,NRT,Asia Pacific,Tokyo,64 ms,13626 kB/s
47.236.144.48,8080,false,SIN,Asia Pacific,Singapore,50 ms,13488 kB/s
140.238.39.33,8080,false,NRT,Asia Pacific,Tokyo,211 ms,13444 kB/s
8.219.242.208,8080,false,SIN,Asia Pacific,Singapore,54 ms,13410 kB/s
150.230.197.156,8080,false,NRT,Asia Pacific,Tokyo,206 ms,13373 kB/s
141.147.164.54,8080,false,NRT,Asia Pacific,Tokyo,186 ms,13371 kB/s
131.186.37.191,8080,false,NRT,Asia Pacific,Tokyo,206 ms,13352 kB/s
8.218.105.223,8080,false,HKG,Asia Pacific,Hong Kong,13 ms,13223 kB/s
47.236.11.84,8080,false,SIN,Asia Pacific,Singapore,44 ms,13102 kB/s
8.219.61.52,8080,false,SIN,Asia Pacific,Singapore,47 ms,13065 kB/s
140.238.60.177,8080,false,NRT,Asia Pacific,Tokyo,204 ms,13037 kB/s
131.186.59.94,8080,false,NRT,Asia Pacific,Tokyo,210 ms,12811 kB/s
47.245.37.98,8080,false,NRT,Asia Pacific,Tokyo,79 ms,12724 kB/s
47.245.26.167,8080,false,NRT,Asia Pacific,Tokyo,67 ms,12640 kB/s
