IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
158.178.242.5,8880,false,SIN,Asia Pacific,Singapore,49 ms,49782 kB/s
158.178.246.169,8880,false,SIN,Asia Pacific,Singapore,46 ms,45274 kB/s
158.178.242.56,8880,false,SIN,Asia Pacific,Singapore,257 ms,36805 kB/s
8.217.147.230,8880,false,HKG,Asia Pacific,Hong Kong,15 ms,26726 kB/s
150.230.221.114,8880,false,NRT,Asia Pacific,Tokyo,182 ms,26188 kB/s
8.222.213.221,8880,false,HKG,Asia Pacific,Hong Kong,83 ms,25811 kB/s
8.222.174.108,8880,false,HKG,Asia Pacific,Hong Kong,74 ms,25572 kB/s
8.218.105.223,8880,false,HKG,Asia Pacific,Hong Kong,13 ms,24836 kB/s
8.219.198.34,8880,false,SIN,Asia Pacific,Singapore,47 ms,24712 kB/s
8.222.150.197,8880,false,SIN,Asia Pacific,Singapore,52 ms,24493 kB/s
8.219.167.113,8880,false,SIN,Asia Pacific,Singapore,47 ms,24464 kB/s
8.219.242.208,8880,false,SIN,Asia Pacific,Singapore,51 ms,24397 kB/s
8.219.220.88,8880,false,SIN,Asia Pacific,Singapore,46 ms,24343 kB/s
8.222.187.4,8880,false,SIN,Asia Pacific,Singapore,48 ms,24315 kB/s
8.219.242.208,8880,false,SIN,Asia Pacific,Singapore,53 ms,24313 kB/s
47.236.123.133,8880,false,CDG,Europe,Paris,192 ms,24253 kB/s
8.219.222.98,8880,false,SIN,Asia Pacific,Singapore,49 ms,24234 kB/s
47.236.144.196,8880,false,SIN,Asia Pacific,Singapore,54 ms,23974 kB/s
47.236.97.90,8880,false,HKG,Asia Pacific,Hong Kong,85 ms,23918 kB/s
8.219.210.64,8880,false,SIN,Asia Pacific,Singapore,51 ms,23773 kB/s
8.222.174.108,8880,false,CDG,Europe,Paris,212 ms,23754 kB/s
8.219.220.88,8880,false,SIN,Asia Pacific,Singapore,46 ms,23669 kB/s
141.147.169.131,8880,false,NRT,Asia Pacific,Tokyo,193 ms,23639 kB/s
47.245.40.161,8880,false,NRT,Asia Pacific,Tokyo,76 ms,23506 kB/s
47.236.123.133,8880,false,CDG,Europe,Paris,209 ms,23077 kB/s
8.217.147.230,8880,false,HKG,Asia Pacific,Hong Kong,15 ms,22997 kB/s
8.218.105.223,8880,false,HKG,Asia Pacific,Hong Kong,13 ms,22584 kB/s
8.219.167.113,8880,false,KIX,Asia Pacific,Osaka,128 ms,22480 kB/s
