IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
132.145.121.242,2087,true,NRT,Asia Pacific,Tokyo,191 ms,30687 kB/s
141.147.174.7,2087,true,NRT,Asia Pacific,Tokyo,186 ms,27736 kB/s
158.178.242.5,2087,true,SIN,Asia Pacific,Singapore,220 ms,26447 kB/s
47.245.37.98,2087,true,NRT,Asia Pacific,Tokyo,95 ms,24398 kB/s
131.186.35.189,2087,true,NRT,Asia Pacific,Tokyo,175 ms,24234 kB/s
8.222.167.147,2087,true,SIN,Asia Pacific,Singapore,61 ms,16550 kB/s
158.101.149.122,2087,true,NRT,Asia Pacific,Tokyo,183 ms,16002 kB/s
8.209.215.247,2087,true,NRT,Asia Pacific,Tokyo,69 ms,15835 kB/s
8.222.187.4,2087,true,SIN,Asia Pacific,Singapore,51 ms,15322 kB/s
47.245.42.162,2087,true,NRT,Asia Pacific,Tokyo,78 ms,15139 kB/s
158.178.246.169,2087,true,SIN,Asia Pacific,Singapore,55 ms,13682 kB/s
8.222.238.141,2087,true,SIN,Asia Pacific,Singapore,53 ms,12103 kB/s
8.219.74.35,2087,true,SIN,Asia Pacific,Singapore,62 ms,11710 kB/s
8.222.215.228,2087,true,SIN,Asia Pacific,Singapore,57 ms,7523 kB/s
146.56.151.87,2087,true,ICN,Asia Pacific,Seoul,90 ms,578 kB/s
144.21.32.193,2087,true,AMS,Europe,Amsterdam,175 ms,504 kB/s
8.219.123.11,2087,true,SIN,Asia Pacific,Singapore,56 ms,38 kB/s
8.222.199.55,2087,true,SIN,Asia Pacific,Singapore,51 ms,36 kB/s
47.245.55.202,2087,true,NRT,Asia Pacific,Tokyo,70 ms,29 kB/s
138.2.11.227,2087,true,NRT,Asia Pacific,Tokyo,187 ms,12 kB/s
132.145.117.33,2087,true,NRT,Asia Pacific,Tokyo,191 ms,11 kB/s
138.2.6.248,2087,true,NRT,Asia Pacific,Tokyo,183 ms,11 kB/s
168.138.185.253,2087,true,SIN,Asia Pacific,Singapore,54 ms,9 kB/s
138.2.108.118,2087,true,SIN,Asia Pacific,Singapore,215 ms,8 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,67 ms,0 kB/s
8.222.221.197,2087,true,SIN,Asia Pacific,Singapore,56 ms,0 kB/s
8.219.102.123,2087,true,SIN,Asia Pacific,Singapore,48 ms,0 kB/s
8.222.248.188,2087,true,SIN,Asia Pacific,Singapore,56 ms,0 kB/s
8.222.147.203,2087,true,SIN,Asia Pacific,Singapore,52 ms,0 kB/s
8.222.229.102,2087,true,SIN,Asia Pacific,Singapore,53 ms,0 kB/s
