IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
140.238.13.96,443,true,ICN,Asia Pacific,Seoul,77 ms,28778 kB/s
43.153.80.208,443,true,SJC,North America,San Jose,171 ms,28729 kB/s
8.222.226.92,443,true,SIN,Asia Pacific,Singapore,44 ms,26860 kB/s
43.153.181.217,443,true,NRT,Asia Pacific,Tokyo,78 ms,26049 kB/s
43.153.103.203,443,true,SJC,North America,San Jose,183 ms,25339 kB/s
150.230.47.17,443,true,SJC,North America,San Jose,184 ms,20035 kB/s
141.145.199.188,443,true,CDG,Europe,Paris,199 ms,13057 kB/s
192.9.137.105,443,true,SJC,North America,San Jose,177 ms,10703 kB/s
192.18.140.32,443,true,SJC,North America,San Jose,171 ms,10380 kB/s
132.226.214.105,443,true,FRA,Europe,Frankfurt,207 ms,10134 kB/s
130.162.35.76,443,true,FRA,Europe,Frankfurt,192 ms,9793 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,152 ms,9528 kB/s
132.226.200.29,443,true,FRA,Europe,Frankfurt,199 ms,9429 kB/s
132.145.244.52,443,true,FRA,Europe,Frankfurt,166 ms,9134 kB/s
144.24.78.162,443,true,ICN,Asia Pacific,Seoul,87 ms,8875 kB/s
130.162.169.10,443,true,FRA,Europe,Frankfurt,185 ms,8429 kB/s
143.47.241.38,443,true,FRA,Europe,Frankfurt,199 ms,7103 kB/s
47.254.66.75,443,true,SJC,North America,San Jose,212 ms,7020 kB/s
140.238.145.194,443,true,YYZ,North America,Toronto,242 ms,6511 kB/s
129.146.60.210,443,true,LAX,North America,Los Angeles,217 ms,6241 kB/s
158.101.214.224,443,true,FRA,Europe,Frankfurt,168 ms,5817 kB/s
130.162.227.209,443,true,FRA,Europe,Frankfurt,168 ms,5600 kB/s
139.185.34.131,443,true,MXP,Europe,Milan,227 ms,5089 kB/s
8.210.156.16,443,true,HKG,Asia Pacific,Hong Kong,13 ms,4235 kB/s
47.242.180.174,443,true,HKG,Asia Pacific,Hong Kong,23 ms,4214 kB/s
47.242.119.221,443,true,HKG,Asia Pacific,Hong Kong,12 ms,4184 kB/s
192.9.231.75,443,true,SJC,North America,San Jose,183 ms,3867 kB/s
43.156.69.80,443,true,SIN,Asia Pacific,Singapore,219 ms,3641 kB/s
119.28.59.141,443,true,HKG,Asia Pacific,Hong Kong,55 ms,3363 kB/s
140.238.213.209,443,true,MXP,Europe,Milan,174 ms,2886 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,284 ms,2852 kB/s
152.69.178.16,443,true,MEL,Oceania,Melbourne,373 ms,2549 kB/s
8.208.14.132,443,true,AMS,Europe,Amsterdam,270 ms,2375 kB/s
47.89.191.155,443,true,IAD,North America,Ashburn,220 ms,2243 kB/s
8.209.254.163,443,true,NRT,Asia Pacific,Tokyo,64 ms,2106 kB/s
49.51.197.141,443,true,SJC,North America,San Jose,180 ms,1880 kB/s
49.51.46.56,443,true,SJC,North America,San Jose,184 ms,1710 kB/s
8.219.248.57,443,true,SIN,Asia Pacific,Singapore,47 ms,1587 kB/s
170.106.35.96,443,true,IAD,North America,Ashburn,243 ms,961 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,247 ms,599 kB/s
101.32.68.154,443,true,HKG,Asia Pacific,Hong Kong,47 ms,441 kB/s
8.211.55.176,443,true,FRA,Europe,Frankfurt,262 ms,415 kB/s
8.212.60.80,443,true,HKG,Asia Pacific,Hong Kong,19 ms,310 kB/s
158.180.231.216,443,true,MRS,Europe,Marseille,293 ms,32 kB/s
47.243.179.249,443,true,HKG,Asia Pacific,Hong Kong,21 ms,17 kB/s
47.242.68.32,443,true,HKG,Asia Pacific,Hong Kong,13 ms,1 kB/s
152.67.179.178,443,true,HYD,Asia Pacific,Hyderabad,200 ms,0 kB/s
129.146.186.4,443,true,LAX,North America,Los Angeles,191 ms,0 kB/s
152.70.237.179,443,true,NRT,Asia Pacific,Tokyo,68 ms,0 kB/s
192.18.150.121,443,true,YYZ,North America,Toronto,234 ms,0 kB/s
168.138.177.109,443,true,SIN,Asia Pacific,Singapore,45 ms,0 kB/s
129.146.84.236,443,true,LAX,North America,Los Angeles,217 ms,0 kB/s
138.2.75.91,443,true,SIN,Asia Pacific,Singapore,215 ms,0 kB/s
129.153.88.16,443,true,LAX,North America,Los Angeles,199 ms,0 kB/s
152.70.166.114,443,true,FRA,Europe,Frankfurt,182 ms,0 kB/s
152.69.219.32,443,true,SIN,Asia Pacific,Singapore,211 ms,0 kB/s
168.138.15.75,443,true,MEL,Oceania,Melbourne,283 ms,0 kB/s
150.136.7.217,443,true,IAD,North America,Ashburn,238 ms,0 kB/s
8.212.43.8,443,true,SJC,North America,San Jose,18 ms,0 kB/s
192.18.159.129,443,true,YYZ,North America,Toronto,243 ms,0 kB/s
129.146.243.241,443,true,LAX,North America,Los Angeles,210 ms,0 kB/s
146.56.151.2,443,true,ICN,Asia Pacific,Seoul,84 ms,0 kB/s
132.145.81.117,443,true,ICN,Asia Pacific,Seoul,95 ms,0 kB/s
43.134.104.242,443,true,SIN,Asia Pacific,Singapore,81 ms,0 kB/s
