IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
131.186.38.135,2083,true,NRT,Asia Pacific,Tokyo,183 ms,38312 kB/s
158.178.242.5,2083,true,SIN,Asia Pacific,Singapore,223 ms,36705 kB/s
152.70.102.124,2083,true,NRT,Asia Pacific,Tokyo,187 ms,30685 kB/s
146.56.142.151,2083,true,NRT,Asia Pacific,Tokyo,83 ms,23579 kB/s
158.178.246.169,2083,true,SIN,Asia Pacific,Singapore,55 ms,22770 kB/s
131.186.47.223,2083,true,NRT,Asia Pacific,Tokyo,185 ms,22263 kB/s
8.219.74.35,2083,true,SIN,Asia Pacific,Singapore,54 ms,22078 kB/s
8.219.93.85,2083,true,SIN,Asia Pacific,Singapore,55 ms,21969 kB/s
8.219.213.133,2083,true,SIN,Asia Pacific,Singapore,52 ms,20008 kB/s
131.186.60.162,2083,true,NRT,Asia Pacific,Tokyo,187 ms,19521 kB/s
8.222.249.190,2083,true,SIN,Asia Pacific,Singapore,52 ms,18578 kB/s
8.222.174.108,2083,true,SIN,Asia Pacific,Singapore,52 ms,16669 kB/s
8.209.215.247,2083,true,NRT,Asia Pacific,Tokyo,65 ms,15692 kB/s
8.222.187.4,2083,true,SIN,Asia Pacific,Singapore,52 ms,14883 kB/s
140.238.51.89,2083,true,NRT,Asia Pacific,Tokyo,187 ms,12033 kB/s
47.91.10.241,2083,true,NRT,Asia Pacific,Tokyo,68 ms,11017 kB/s
131.186.58.151,2083,true,NRT,Asia Pacific,Tokyo,181 ms,10960 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,55 ms,8601 kB/s
158.178.242.56,2083,true,SIN,Asia Pacific,Singapore,216 ms,7910 kB/s
47.243.179.249,2083,true,HKG,Asia Pacific,Hong Kong,22 ms,78 kB/s
168.138.185.253,2083,true,SIN,Asia Pacific,Singapore,220 ms,36 kB/s
138.2.108.118,2083,true,SIN,Asia Pacific,Singapore,216 ms,35 kB/s
8.222.156.205,2083,true,SIN,Asia Pacific,Singapore,64 ms,33 kB/s
47.245.59.167,2083,true,NRT,Asia Pacific,Tokyo,66 ms,31 kB/s
131.186.34.244,2083,true,NRT,Asia Pacific,Tokyo,179 ms,0 kB/s
8.222.131.102,2083,true,SIN,Asia Pacific,Singapore,59 ms,0 kB/s
8.222.224.162,2083,true,SIN,Asia Pacific,Singapore,54 ms,0 kB/s
