IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
155.248.177.210,80,false,NRT,Asia Pacific,Tokyo,197 ms,68203 kB/s
131.186.43.107,80,false,NRT,Asia Pacific,Tokyo,201 ms,66175 kB/s
158.178.242.5,80,false,SIN,Asia Pacific,Singapore,227 ms,58378 kB/s
158.178.242.56,80,false,SIN,Asia Pacific,Singapore,60 ms,52284 kB/s
158.178.246.169,80,false,SIN,Asia Pacific,Singapore,226 ms,40971 kB/s
138.3.215.11,80,false,NRT,Asia Pacific,Tokyo,206 ms,34470 kB/s
150.230.208.83,80,false,NRT,Asia Pacific,Tokyo,179 ms,28964 kB/s
43.153.181.217,80,false,NRT,Asia Pacific,Tokyo,90 ms,25513 kB/s
8.222.174.108,80,false,SIN,Asia Pacific,Singapore,47 ms,24707 kB/s
8.219.198.34,80,false,SIN,Asia Pacific,Singapore,56 ms,24392 kB/s
141.147.168.159,80,false,NRT,Asia Pacific,Tokyo,189 ms,24311 kB/s
8.222.150.197,80,false,SIN,Asia Pacific,Singapore,50 ms,23295 kB/s
8.222.159.252,80,false,SIN,Asia Pacific,Singapore,46 ms,22979 kB/s
150.230.109.138,80,false,NRT,Asia Pacific,Tokyo,189 ms,22066 kB/s
131.186.37.69,80,false,NRT,Asia Pacific,Tokyo,180 ms,21649 kB/s
8.219.12.152,80,false,SIN,Asia Pacific,Singapore,52 ms,21626 kB/s
8.219.213.133,80,false,SIN,Asia Pacific,Singapore,52 ms,21211 kB/s
8.219.154.107,80,false,SIN,Asia Pacific,Singapore,45 ms,21208 kB/s
47.245.37.98,80,false,NRT,Asia Pacific,Tokyo,64 ms,20820 kB/s
158.101.149.122,80,false,NRT,Asia Pacific,Tokyo,180 ms,20741 kB/s
8.219.167.113,80,false,SIN,Asia Pacific,Singapore,53 ms,20269 kB/s
141.147.164.54,80,false,NRT,Asia Pacific,Tokyo,195 ms,20066 kB/s
8.222.167.147,80,false,SIN,Asia Pacific,Singapore,54 ms,19656 kB/s
8.222.224.163,80,false,SIN,Asia Pacific,Singapore,49 ms,19365 kB/s
47.91.10.241,80,false,NRT,Asia Pacific,Tokyo,73 ms,19021 kB/s
8.219.134.117,80,false,SIN,Asia Pacific,Singapore,54 ms,18954 kB/s
8.222.238.141,80,false,SIN,Asia Pacific,Singapore,46 ms,18048 kB/s
132.145.112.247,80,false,NRT,Asia Pacific,Tokyo,200 ms,17142 kB/s
47.245.42.162,80,false,NRT,Asia Pacific,Tokyo,68 ms,15254 kB/s
8.222.215.228,80,false,SIN,Asia Pacific,Singapore,46 ms,14211 kB/s
8.222.249.190,80,false,SIN,Asia Pacific,Singapore,47 ms,13762 kB/s
8.219.235.164,80,false,SIN,Asia Pacific,Singapore,42 ms,12937 kB/s
141.147.189.242,80,false,NRT,Asia Pacific,Tokyo,191 ms,12002 kB/s
132.145.121.242,80,false,NRT,Asia Pacific,Tokyo,203 ms,10242 kB/s
8.209.215.247,80,false,NRT,Asia Pacific,Tokyo,66 ms,9816 kB/s
130.162.61.18,80,false,FRA,Europe,Frankfurt,166 ms,9156 kB/s
141.147.178.202,80,false,NRT,Asia Pacific,Tokyo,195 ms,8607 kB/s
8.218.105.223,80,false,HKG,Asia Pacific,Hong Kong,25 ms,7087 kB/s
131.186.59.232,80,false,NRT,Asia Pacific,Tokyo,195 ms,6747 kB/s
8.222.187.4,80,false,SIN,Asia Pacific,Singapore,46 ms,6740 kB/s
140.238.207.22,80,false,SYD,Oceania,Sydney,283 ms,4911 kB/s
47.243.163.102,80,false,HKG,Asia Pacific,Hong Kong,20 ms,4308 kB/s
168.138.12.10,80,false,MEL,Oceania,Melbourne,274 ms,3816 kB/s
164.152.34.166,80,false,GRU,South America,S?o Paulo,364 ms,3762 kB/s
141.147.181.148,80,false,NRT,Asia Pacific,Tokyo,190 ms,3734 kB/s
170.106.35.96,80,false,IAD,North America,Ashburn,241 ms,1589 kB/s
8.222.239.209,80,false,SIN,Asia Pacific,Singapore,40 ms,1049 kB/s
8.222.217.39,80,false,SIN,Asia Pacific,Singapore,54 ms,671 kB/s
193.122.93.138,80,false,MRS,Europe,Marseille,279 ms,93 kB/s
47.243.179.249,80,false,HKG,Asia Pacific,Hong Kong,16 ms,84 kB/s
43.156.47.167,80,false,SIN,Asia Pacific,Singapore,219 ms,81 kB/s
47.74.54.182,80,false,NRT,Asia Pacific,Tokyo,77 ms,77 kB/s
