IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
43.153.181.217,443,true,NRT,Asia Pacific,Tokyo,78 ms,28565 kB/s
146.56.151.2,443,true,ICN,Asia Pacific,Seoul,93 ms,25187 kB/s
140.238.13.96,443,true,ICN,Asia Pacific,Seoul,91 ms,23140 kB/s
132.145.250.105,443,true,FRA,Europe,Frankfurt,163 ms,13877 kB/s
141.148.234.227,443,true,FRA,Europe,Frankfurt,214 ms,13508 kB/s
150.230.20.160,443,true,FRA,Europe,Frankfurt,198 ms,12956 kB/s
130.162.253.15,443,true,AMS,Europe,Amsterdam,184 ms,12761 kB/s
130.162.222.158,443,true,FRA,Europe,Frankfurt,151 ms,12689 kB/s
144.21.60.114,443,true,FRA,Europe,Frankfurt,200 ms,12390 kB/s
144.21.33.99,443,true,FRA,Europe,Frankfurt,223 ms,12240 kB/s
152.70.60.233,443,true,FRA,Europe,Frankfurt,200 ms,12193 kB/s
193.123.62.163,443,true,CDG,Europe,Paris,154 ms,12159 kB/s
143.47.231.11,443,true,FRA,Europe,Frankfurt,184 ms,12082 kB/s
152.70.54.38,443,true,FRA,Europe,Frankfurt,182 ms,11948 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,165 ms,11849 kB/s
158.101.215.137,443,true,FRA,Europe,Frankfurt,165 ms,11789 kB/s
132.145.238.234,443,true,EWR,North America,Newark,152 ms,11764 kB/s
140.238.127.221,443,true,FRA,Europe,Frankfurt,183 ms,11486 kB/s
144.21.33.160,443,true,FRA,Europe,Frankfurt,235 ms,11345 kB/s
130.162.174.27,443,true,FRA,Europe,Frankfurt,225 ms,11286 kB/s
143.47.250.184,443,true,AMS,Europe,Amsterdam,168 ms,11210 kB/s
140.238.126.202,443,true,FRA,Europe,Frankfurt,193 ms,10855 kB/s
141.147.79.201,443,true,FRA,Europe,Frankfurt,190 ms,10790 kB/s
143.47.251.251,443,true,CDG,Europe,Paris,252 ms,10711 kB/s
132.145.249.234,443,true,LHR,Europe,London,241 ms,10618 kB/s
152.70.62.200,443,true,LHR,Europe,London,172 ms,10584 kB/s
141.147.89.63,443,true,FRA,Europe,Frankfurt,183 ms,10496 kB/s
158.101.223.125,443,true,FRA,Europe,Frankfurt,170 ms,10468 kB/s
143.47.255.76,443,true,FRA,Europe,Frankfurt,185 ms,10235 kB/s
143.47.232.76,443,true,FRA,Europe,Frankfurt,232 ms,10165 kB/s
138.2.140.198,443,true,FRA,Europe,Frankfurt,194 ms,10139 kB/s
152.67.141.111,443,true,FRA,Europe,Frankfurt,205 ms,10034 kB/s
130.162.251.138,443,true,FRA,Europe,Frankfurt,157 ms,9965 kB/s
141.145.199.188,443,true,CDG,Europe,Paris,190 ms,9954 kB/s
141.147.26.93,443,true,AMS,Europe,Amsterdam,170 ms,9859 kB/s
143.47.233.29,443,true,FRA,Europe,Frankfurt,252 ms,9734 kB/s
141.144.194.19,443,true,FRA,Europe,Frankfurt,165 ms,9585 kB/s
141.147.116.196,443,true,FRA,Europe,Frankfurt,195 ms,9577 kB/s
141.147.5.219,443,true,FRA,Europe,Frankfurt,168 ms,9551 kB/s
152.67.148.217,443,true,FRA,Europe,Frankfurt,193 ms,9538 kB/s
138.2.160.90,443,true,FRA,Europe,Frankfurt,228 ms,9463 kB/s
130.162.227.209,443,true,FRA,Europe,Frankfurt,166 ms,9063 kB/s
130.61.8.218,443,true,FRA,Europe,Frankfurt,189 ms,9044 kB/s
141.144.193.246,443,true,FRA,Europe,Frankfurt,169 ms,9031 kB/s
