IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
131.186.43.107,2096,true,NRT,Asia Pacific,Tokyo,182 ms,38603 kB/s
158.178.242.56,2096,true,SIN,Asia Pacific,Singapore,48 ms,35780 kB/s
131.186.37.69,2096,true,NRT,Asia Pacific,Tokyo,190 ms,27661 kB/s
131.186.63.35,2096,true,NRT,Asia Pacific,Tokyo,189 ms,26174 kB/s
131.186.27.112,2096,true,ICN,Asia Pacific,Seoul,81 ms,25969 kB/s
158.101.147.4,2096,true,NRT,Asia Pacific,Tokyo,188 ms,25360 kB/s
8.222.237.131,2096,true,SIN,Asia Pacific,Singapore,54 ms,22814 kB/s
47.245.11.216,2096,true,NRT,Asia Pacific,Tokyo,98 ms,20956 kB/s
47.74.37.50,2096,true,NRT,Asia Pacific,Tokyo,65 ms,18892 kB/s
8.222.174.108,2096,true,SIN,Asia Pacific,Singapore,55 ms,18703 kB/s
131.186.60.162,2096,true,NRT,Asia Pacific,Tokyo,192 ms,18564 kB/s
47.91.10.228,2096,true,NRT,Asia Pacific,Tokyo,73 ms,18347 kB/s
140.238.54.149,2096,true,NRT,Asia Pacific,Tokyo,183 ms,18134 kB/s
141.147.178.135,2096,true,NRT,Asia Pacific,Tokyo,183 ms,17333 kB/s
141.147.178.115,2096,true,NRT,Asia Pacific,Tokyo,190 ms,16508 kB/s
47.245.26.167,2096,true,NRT,Asia Pacific,Tokyo,103 ms,13725 kB/s
8.222.150.197,2096,true,SIN,Asia Pacific,Singapore,51 ms,13415 kB/s
47.91.22.115,2096,true,NRT,Asia Pacific,Tokyo,98 ms,12780 kB/s
47.245.54.140,2096,true,NRT,Asia Pacific,Tokyo,70 ms,12334 kB/s
130.61.211.43,2096,true,FRA,Europe,Frankfurt,158 ms,4129 kB/s
130.162.163.137,2096,true,LHR,Europe,London,174 ms,1998 kB/s
8.219.239.79,2096,true,SIN,Asia Pacific,Singapore,48 ms,36 kB/s
8.222.156.205,2096,true,SIN,Asia Pacific,Singapore,62 ms,33 kB/s
47.74.6.55,2096,true,NRT,Asia Pacific,Tokyo,66 ms,27 kB/s
47.243.179.249,2096,true,HKG,Asia Pacific,Hong Kong,25 ms,15 kB/s
150.230.213.65,2096,true,NRT,Asia Pacific,Tokyo,182 ms,11 kB/s
168.138.185.253,2096,true,SIN,Asia Pacific,Singapore,50 ms,10 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,52 ms,0 kB/s
8.222.169.182,2096,true,SIN,Asia Pacific,Singapore,51 ms,0 kB/s
8.219.102.123,2096,true,SIN,Asia Pacific,Singapore,50 ms,0 kB/s
