IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
158.178.242.5,8443,true,SIN,Asia Pacific,Singapore,224 ms,45933 kB/s
158.178.246.169,8443,true,SIN,Asia Pacific,Singapore,60 ms,27111 kB/s
8.222.215.228,8443,true,SIN,Asia Pacific,Singapore,48 ms,23718 kB/s
132.145.112.247,8443,true,NRT,Asia Pacific,Tokyo,186 ms,22794 kB/s
131.186.46.75,8443,true,NRT,Asia Pacific,Tokyo,192 ms,21250 kB/s
8.219.121.87,8443,true,SIN,Asia Pacific,Singapore,48 ms,19747 kB/s
131.186.43.107,8443,true,NRT,Asia Pacific,Tokyo,188 ms,17653 kB/s
47.245.54.140,8443,true,NRT,Asia Pacific,Tokyo,101 ms,17102 kB/s
47.91.22.115,8443,true,NRT,Asia Pacific,Tokyo,76 ms,14409 kB/s
192.9.246.112,8443,true,SJC,North America,San Jose,214 ms,14022 kB/s
8.222.221.109,8443,true,SIN,Asia Pacific,Singapore,53 ms,13491 kB/s
146.56.151.2,8443,true,ICN,Asia Pacific,Seoul,85 ms,13113 kB/s
130.61.203.115,8443,true,FRA,Europe,Frankfurt,162 ms,13041 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,172 ms,12451 kB/s
8.219.255.171,8443,true,SIN,Asia Pacific,Singapore,61 ms,11908 kB/s
144.24.169.81,8443,true,FRA,Europe,Frankfurt,169 ms,11771 kB/s
47.245.26.167,8443,true,NRT,Asia Pacific,Tokyo,92 ms,11094 kB/s
192.9.157.76,8443,true,SJC,North America,San Jose,188 ms,10829 kB/s
141.147.16.152,8443,true,FRA,Europe,Frankfurt,159 ms,9840 kB/s
165.1.79.60,8443,true,SJC,North America,San Jose,183 ms,9068 kB/s
129.159.197.137,8443,true,FRA,Europe,Frankfurt,170 ms,7549 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,179 ms,7486 kB/s
143.47.243.144,8443,true,LHR,Europe,London,181 ms,6986 kB/s
152.70.123.225,8443,true,SJC,North America,San Jose,231 ms,5967 kB/s
138.2.10.88,8443,true,NRT,Asia Pacific,Tokyo,187 ms,4979 kB/s
144.24.189.21,8443,true,FRA,Europe,Frankfurt,159 ms,4774 kB/s
130.162.230.200,8443,true,FRA,Europe,Frankfurt,157 ms,4763 kB/s
47.242.55.25,8443,true,HKG,Asia Pacific,Hong Kong,25 ms,4037 kB/s
130.162.163.137,8443,true,LHR,Europe,London,188 ms,2821 kB/s
132.145.54.84,8443,true,LHR,Europe,London,185 ms,2373 kB/s
141.145.206.16,8443,true,CDG,Europe,Paris,200 ms,1853 kB/s
143.47.182.56,8443,true,AMS,Europe,Amsterdam,179 ms,912 kB/s
158.178.242.207,8443,true,SIN,Asia Pacific,Singapore,218 ms,453 kB/s
168.138.78.149,8443,true,YUL,North America,Montréal,267 ms,311 kB/s
47.243.62.196,8443,true,HKG,Asia Pacific,Hong Kong,21 ms,153 kB/s
168.138.185.253,8443,true,SIN,Asia Pacific,Singapore,56 ms,39 kB/s
8.219.123.11,8443,true,SIN,Asia Pacific,Singapore,58 ms,35 kB/s
138.2.108.118,8443,true,SIN,Asia Pacific,Singapore,49 ms,33 kB/s
8.222.156.205,8443,true,SIN,Asia Pacific,Singapore,56 ms,33 kB/s
8.222.212.255,8443,true,SIN,Asia Pacific,Singapore,54 ms,31 kB/s
47.74.6.55,8443,true,NRT,Asia Pacific,Tokyo,101 ms,27 kB/s
47.243.179.249,8443,true,HKG,Asia Pacific,Hong Kong,21 ms,13 kB/s
140.238.42.149,8443,true,NRT,Asia Pacific,Tokyo,186 ms,10 kB/s
8.222.147.203,8443,true,SIN,Asia Pacific,Singapore,52 ms,0 kB/s
8.222.155.242,8443,true,SIN,Asia Pacific,Singapore,49 ms,0 kB/s
129.146.83.33,8443,true,LAX,North America,Los Angeles,207 ms,0 kB/s
150.230.44.131,8443,true,SJC,North America,San Jose,214 ms,0 kB/s
152.70.56.209,8443,true,AMS,Europe,Amsterdam,179 ms,0 kB/s
8.222.229.102,8443,true,SIN,Asia Pacific,Singapore,52 ms,0 kB/s
8.222.211.124,8443,true,SIN,Asia Pacific,Singapore,62 ms,0 kB/s
