IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
140.238.50.99,8443,true,NRT,Asia Pacific,Tokyo,177 ms,61290 kB/s
138.2.8.232,8443,true,NRT,Asia Pacific,Tokyo,179 ms,59863 kB/s
141.147.164.123,8443,true,NRT,Asia Pacific,Tokyo,180 ms,54984 kB/s
138.2.31.68,8443,true,NRT,Asia Pacific,Tokyo,182 ms,54744 kB/s
158.101.90.190,8443,true,NRT,Asia Pacific,Tokyo,184 ms,52348 kB/s
168.138.215.188,8443,true,NRT,Asia Pacific,Tokyo,178 ms,51684 kB/s
132.145.123.159,8443,true,NRT,Asia Pacific,Tokyo,191 ms,42149 kB/s
141.147.179.64,8443,true,NRT,Asia Pacific,Tokyo,183 ms,40544 kB/s
132.226.6.5,8443,true,NRT,Asia Pacific,Tokyo,187 ms,40131 kB/s
132.145.127.21,8443,true,NRT,Asia Pacific,Tokyo,182 ms,38135 kB/s
132.145.114.4,8443,true,NRT,Asia Pacific,Tokyo,187 ms,36830 kB/s
152.70.111.251,8443,true,NRT,Asia Pacific,Tokyo,187 ms,35546 kB/s
150.230.105.228,8443,true,NRT,Asia Pacific,Tokyo,178 ms,35432 kB/s
131.186.61.45,8443,true,NRT,Asia Pacific,Tokyo,176 ms,34033 kB/s
131.186.34.244,8443,true,NRT,Asia Pacific,Tokyo,174 ms,33822 kB/s
132.145.121.175,8443,true,NRT,Asia Pacific,Tokyo,180 ms,33326 kB/s
150.230.212.213,8443,true,NRT,Asia Pacific,Tokyo,176 ms,33195 kB/s
140.238.58.42,8443,true,NRT,Asia Pacific,Tokyo,179 ms,30993 kB/s
132.145.125.86,8443,true,NRT,Asia Pacific,Tokyo,181 ms,30534 kB/s
138.2.11.179,8443,true,NRT,Asia Pacific,Tokyo,185 ms,30314 kB/s
132.145.124.198,8443,true,NRT,Asia Pacific,Tokyo,174 ms,29992 kB/s
168.138.196.237,8443,true,NRT,Asia Pacific,Tokyo,174 ms,29520 kB/s
150.230.193.89,8443,true,NRT,Asia Pacific,Tokyo,173 ms,28848 kB/s
132.145.114.250,8443,true,NRT,Asia Pacific,Tokyo,177 ms,28738 kB/s
131.186.43.107,8443,true,NRT,Asia Pacific,Tokyo,182 ms,28216 kB/s
131.186.35.189,8443,true,NRT,Asia Pacific,Tokyo,179 ms,27805 kB/s
168.138.215.188,8443,true,NRT,Asia Pacific,Tokyo,179 ms,27744 kB/s
141.147.178.135,8443,true,NRT,Asia Pacific,Tokyo,182 ms,27639 kB/s
141.147.164.123,8443,true,NRT,Asia Pacific,Tokyo,170 ms,27489 kB/s
8.210.119.11,8443,true,HKG,Asia Pacific,Hong Kong,21 ms,27189 kB/s
150.230.201.39,8443,true,NRT,Asia Pacific,Tokyo,187 ms,27057 kB/s
138.2.15.8,8443,true,NRT,Asia Pacific,Tokyo,179 ms,26749 kB/s
