IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
141.147.174.190,2087,true,NRT,Asia Pacific,Tokyo,187 ms,44661 kB/s
158.178.246.169,2087,true,SIN,Asia Pacific,Singapore,207 ms,31729 kB/s
146.56.151.87,2087,true,ICN,Asia Pacific,Seoul,82 ms,23159 kB/s
158.178.242.56,2087,true,SIN,Asia Pacific,Singapore,211 ms,23153 kB/s
47.74.37.50,2087,true,NRT,Asia Pacific,Tokyo,72 ms,21914 kB/s
132.145.126.21,2087,true,NRT,Asia Pacific,Tokyo,186 ms,21911 kB/s
47.245.57.109,2087,true,NRT,Asia Pacific,Tokyo,71 ms,21614 kB/s
138.3.214.43,2087,true,NRT,Asia Pacific,Tokyo,176 ms,21611 kB/s
47.91.17.102,2087,true,NRT,Asia Pacific,Tokyo,77 ms,20797 kB/s
47.245.31.0,2087,true,NRT,Asia Pacific,Tokyo,69 ms,20676 kB/s
47.245.11.216,2087,true,NRT,Asia Pacific,Tokyo,71 ms,20213 kB/s
47.74.15.120,2087,true,NRT,Asia Pacific,Tokyo,78 ms,19596 kB/s
47.91.15.247,2087,true,NRT,Asia Pacific,Tokyo,65 ms,19050 kB/s
47.245.9.99,2087,true,NRT,Asia Pacific,Tokyo,70 ms,18965 kB/s
47.245.52.240,2087,true,NRT,Asia Pacific,Tokyo,66 ms,18604 kB/s
132.145.123.143,2087,true,NRT,Asia Pacific,Tokyo,180 ms,18363 kB/s
8.222.215.228,2087,true,SIN,Asia Pacific,Singapore,58 ms,17932 kB/s
158.178.242.5,2087,true,SIN,Asia Pacific,Singapore,393 ms,17155 kB/s
47.245.2.231,2087,true,NRT,Asia Pacific,Tokyo,74 ms,16918 kB/s
8.222.197.251,2087,true,SIN,Asia Pacific,Singapore,50 ms,16815 kB/s
8.209.222.31,2087,true,NRT,Asia Pacific,Tokyo,97 ms,15925 kB/s
47.245.37.37,2087,true,NRT,Asia Pacific,Tokyo,74 ms,15175 kB/s
47.245.37.94,2087,true,NRT,Asia Pacific,Tokyo,106 ms,14189 kB/s
47.91.14.69,2087,true,NRT,Asia Pacific,Tokyo,106 ms,13304 kB/s
47.245.33.56,2087,true,NRT,Asia Pacific,Tokyo,72 ms,11961 kB/s
47.91.22.115,2087,true,NRT,Asia Pacific,Tokyo,72 ms,11081 kB/s
47.245.54.140,2087,true,NRT,Asia Pacific,Tokyo,75 ms,10528 kB/s
8.219.101.138,2087,true,SIN,Asia Pacific,Singapore,59 ms,10451 kB/s
47.91.21.107,2087,true,NRT,Asia Pacific,Tokyo,75 ms,9350 kB/s
8.219.235.164,2087,true,SIN,Asia Pacific,Singapore,61 ms,9043 kB/s
8.209.248.161,2087,true,NRT,Asia Pacific,Tokyo,74 ms,7703 kB/s
47.245.56.50,2087,true,NRT,Asia Pacific,Tokyo,70 ms,6771 kB/s
8.219.239.79,2087,true,SIN,Asia Pacific,Singapore,57 ms,38 kB/s
8.219.200.178,2087,true,SIN,Asia Pacific,Singapore,61 ms,38 kB/s
8.222.199.55,2087,true,SIN,Asia Pacific,Singapore,57 ms,32 kB/s
47.245.31.153,2087,true,NRT,Asia Pacific,Tokyo,107 ms,27 kB/s
47.74.6.55,2087,true,NRT,Asia Pacific,Tokyo,106 ms,14 kB/s
47.245.55.202,2087,true,NRT,Asia Pacific,Tokyo,73 ms,12 kB/s
168.138.185.253,2087,true,SIN,Asia Pacific,Singapore,207 ms,6 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,61 ms,0 kB/s
8.219.102.123,2087,true,SIN,Asia Pacific,Singapore,50 ms,0 kB/s
