IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
132.145.126.21,8880,false,NRT,Asia Pacific,Tokyo,185 ms,33968 kB/s
158.178.242.56,8880,false,SIN,Asia Pacific,Singapore,211 ms,33059 kB/s
150.230.212.213,8880,false,NRT,Asia Pacific,Tokyo,177 ms,29846 kB/s
8.219.185.191,8880,false,SIN,Asia Pacific,Singapore,56 ms,23653 kB/s
8.222.174.108,8880,false,SIN,Asia Pacific,Singapore,62 ms,23051 kB/s
47.245.37.37,8880,false,NRT,Asia Pacific,Tokyo,72 ms,22779 kB/s
8.219.0.162,8880,false,SIN,Asia Pacific,Singapore,46 ms,22492 kB/s
140.238.33.165,8880,false,NRT,Asia Pacific,Tokyo,193 ms,22078 kB/s
158.101.94.15,8880,false,NRT,Asia Pacific,Tokyo,190 ms,21533 kB/s
131.186.59.94,8880,false,NRT,Asia Pacific,Tokyo,194 ms,21437 kB/s
138.2.7.72,8880,false,NRT,Asia Pacific,Tokyo,188 ms,21103 kB/s
8.222.248.188,8880,false,SIN,Asia Pacific,Singapore,57 ms,19998 kB/s
158.178.242.5,8880,false,SIN,Asia Pacific,Singapore,380 ms,19469 kB/s
47.245.9.99,8880,false,NRT,Asia Pacific,Tokyo,75 ms,19272 kB/s
47.91.14.69,8880,false,NRT,Asia Pacific,Tokyo,65 ms,18929 kB/s
8.209.222.31,8880,false,NRT,Asia Pacific,Tokyo,104 ms,18521 kB/s
8.222.237.131,8880,false,SIN,Asia Pacific,Singapore,49 ms,18458 kB/s
47.91.22.115,8880,false,NRT,Asia Pacific,Tokyo,67 ms,18400 kB/s
47.245.31.0,8880,false,NRT,Asia Pacific,Tokyo,72 ms,18247 kB/s
47.74.37.50,8880,false,NRT,Asia Pacific,Tokyo,97 ms,18008 kB/s
47.245.11.216,8880,false,NRT,Asia Pacific,Tokyo,72 ms,17979 kB/s
47.91.17.102,8880,false,NRT,Asia Pacific,Tokyo,67 ms,17926 kB/s
47.245.52.240,8880,false,NRT,Asia Pacific,Tokyo,78 ms,17896 kB/s
47.245.33.56,8880,false,NRT,Asia Pacific,Tokyo,78 ms,17618 kB/s
47.245.37.94,8880,false,NRT,Asia Pacific,Tokyo,75 ms,16946 kB/s
8.219.101.138,8880,false,SIN,Asia Pacific,Singapore,65 ms,16508 kB/s
131.186.63.35,8880,false,NRT,Asia Pacific,Tokyo,196 ms,16473 kB/s
47.245.54.140,8880,false,NRT,Asia Pacific,Tokyo,77 ms,16118 kB/s
8.209.248.161,8880,false,NRT,Asia Pacific,Tokyo,67 ms,15829 kB/s
8.219.126.240,8880,false,SIN,Asia Pacific,Singapore,67 ms,15692 kB/s
47.245.2.231,8880,false,NRT,Asia Pacific,Tokyo,81 ms,15445 kB/s
47.91.15.247,8880,false,NRT,Asia Pacific,Tokyo,62 ms,15079 kB/s
47.91.3.87,8880,false,NRT,Asia Pacific,Tokyo,67 ms,14955 kB/s
47.245.57.109,8880,false,NRT,Asia Pacific,Tokyo,78 ms,14733 kB/s
141.147.168.159,8880,false,NRT,Asia Pacific,Tokyo,188 ms,13562 kB/s
158.178.246.169,8880,false,SIN,Asia Pacific,Singapore,221 ms,12318 kB/s
47.74.0.183,8880,false,NRT,Asia Pacific,Tokyo,63 ms,12224 kB/s
8.222.150.197,8880,false,SIN,Asia Pacific,Singapore,56 ms,12014 kB/s
47.74.15.120,8880,false,NRT,Asia Pacific,Tokyo,66 ms,11925 kB/s
8.219.167.113,8880,false,SIN,Asia Pacific,Singapore,66 ms,11638 kB/s
138.2.0.217,8880,false,NRT,Asia Pacific,Tokyo,192 ms,11305 kB/s
141.147.189.242,8880,false,NRT,Asia Pacific,Tokyo,193 ms,9511 kB/s
8.222.249.190,8880,false,SIN,Asia Pacific,Singapore,61 ms,9226 kB/s
8.222.167.147,8880,false,SIN,Asia Pacific,Singapore,59 ms,8662 kB/s
141.147.182.70,8880,false,NRT,Asia Pacific,Tokyo,189 ms,7840 kB/s
8.219.42.72,8880,false,SIN,Asia Pacific,Singapore,64 ms,6572 kB/s
47.245.56.50,8880,false,NRT,Asia Pacific,Tokyo,72 ms,6489 kB/s
8.219.235.164,8880,false,SIN,Asia Pacific,Singapore,51 ms,5868 kB/s
150.230.108.135,8880,false,NRT,Asia Pacific,Tokyo,193 ms,3301 kB/s
8.218.48.92,8880,false,HKG,Asia Pacific,Hong Kong,27 ms,1782 kB/s
47.245.126.151,8880,false,SIN,Asia Pacific,Singapore,64 ms,1713 kB/s
47.243.179.249,8880,false,HKG,Asia Pacific,Hong Kong,20 ms,168 kB/s
43.134.165.18,8880,false,SIN,Asia Pacific,Singapore,83 ms,104 kB/s
8.222.199.55,8880,false,SIN,Asia Pacific,Singapore,57 ms,79 kB/s
8.219.110.248,8880,false,SIN,Asia Pacific,Singapore,53 ms,79 kB/s
8.222.145.43,8880,false,SIN,Asia Pacific,Singapore,52 ms,73 kB/s
8.219.123.11,8880,false,SIN,Asia Pacific,Singapore,61 ms,69 kB/s
8.219.239.79,8880,false,SIN,Asia Pacific,Singapore,56 ms,68 kB/s
8.222.212.255,8880,false,SIN,Asia Pacific,Singapore,59 ms,66 kB/s
47.245.12.189,8880,false,NRT,Asia Pacific,Tokyo,70 ms,65 kB/s
47.245.37.56,8880,false,NRT,Asia Pacific,Tokyo,72 ms,64 kB/s
47.91.1.38,8880,false,NRT,Asia Pacific,Tokyo,62 ms,63 kB/s
47.74.6.55,8880,false,NRT,Asia Pacific,Tokyo,65 ms,62 kB/s
47.245.52.197,8880,false,NRT,Asia Pacific,Tokyo,78 ms,61 kB/s
47.245.55.202,8880,false,NRT,Asia Pacific,Tokyo,103 ms,61 kB/s
47.91.22.66,8880,false,NRT,Asia Pacific,Tokyo,87 ms,61 kB/s
47.74.43.143,8880,false,NRT,Asia Pacific,Tokyo,69 ms,60 kB/s
47.74.53.112,8880,false,NRT,Asia Pacific,Tokyo,104 ms,58 kB/s
47.74.6.157,8880,false,NRT,Asia Pacific,Tokyo,96 ms,57 kB/s
47.91.1.94,8880,false,NRT,Asia Pacific,Tokyo,66 ms,57 kB/s
47.245.39.116,8880,false,NRT,Asia Pacific,Tokyo,76 ms,56 kB/s
47.245.14.74,8880,false,NRT,Asia Pacific,Tokyo,73 ms,47 kB/s
47.245.31.153,8880,false,NRT,Asia Pacific,Tokyo,74 ms,42 kB/s
138.2.6.248,8880,false,NRT,Asia Pacific,Tokyo,193 ms,24 kB/s
152.70.102.142,8880,false,NRT,Asia Pacific,Tokyo,186 ms,23 kB/s
158.101.136.128,8880,false,NRT,Asia Pacific,Tokyo,193 ms,21 kB/s
168.138.185.253,8880,false,SIN,Asia Pacific,Singapore,212 ms,19 kB/s
8.222.155.242,8880,false,SIN,Asia Pacific,Singapore,61 ms,0 kB/s
8.222.169.182,8880,false,SIN,Asia Pacific,Singapore,58 ms,0 kB/s
8.219.102.123,8880,false,SIN,Asia Pacific,Singapore,62 ms,0 kB/s
8.222.229.102,8880,false,SIN,Asia Pacific,Singapore,60 ms,0 kB/s
8.222.211.124,8880,false,SIN,Asia Pacific,Singapore,57 ms,0 kB/s
8.219.134.63,8880,false,SIN,Asia Pacific,Singapore,53 ms,0 kB/s
47.245.59.167,8880,false,NRT,Asia Pacific,Tokyo,102 ms,0 kB/s
47.91.21.107,8880,false,NRT,Asia Pacific,Tokyo,63 ms,0 kB/s
